alpha,rank,node,score,node_label
0.0,1,999246518573af4b1756e96b5da8c15,1504.0,e91fc738f7c2969b5693bd5a3b6a7e2
0.0,2,5570fb689528e01c515604476fead7b,1318.0,4f11b5ae12b263cd102af2fb53c6e59
0.0,3,511d6385b5d2b26cb65e6f4c95c66e0,1278.0,0101227188b0a94ee84c4c570a3fe21
0.0,4,126c0412a08a77cd21d1321d32b4a30,1247.0,faa5436acf21229165219bdf2a15ae1
0.0,5,79eb33248a8ff285909d4e4d7221c00,1133.0,cff2f8b492fd60699f4c0efcd3c18e3
0.0,6,d92b9d59861f8c5412e13df58f688b6,867.0,e3a2c4e68206caf3f58668cf81af3dd
0.0,7,e1f602a771f4428666359b90524e4bd,796.0,1461367cc91b837e1b6547abe83c1ee
0.0,8,a36b87b046f6a351668f1684778c29c,795.0,4f05e6cfb0149168f7ac243c657dd38
0.0,9,cbdfe8f8b33545ef44b4965fa6d2cd4,700.0,ba709cf3cee4e50bb7c2f35bd5f6088
0.0,10,78d15ba833cf540baf73439626a3ab0,677.0,c492269338a9662bb6c29858e8cdaf0
0.0,11,0ed015299d4dbef69fa5f6b8d70a9d7,636.0,d6ee9b882cf47399d658ee96536354f
0.0,12,a6a0ba5336ca3c41b0ea658e1960c34,606.0,4d3c2780592f8da75c04ae1ec2acf82
0.0,13,c41f78e6d801cd6d2336facd3ada846,600.0,d7afa383019a95f520ef98f6e85dba9
0.0,14,2f10b599c24d49830a3ae1f07eb6cc6,585.0,697f933343b126a5285a45e62cbb29b
0.0,15,de820db42926b17b057cc7516017427,567.0,c1b294d4fc442cab1938c321467d46e
0.0,16,4395d08075ba57e81cd6745a3b34a29,560.0,d43edfece0cbf41f9b6913b197253aa
0.0,17,2c6917d4f8ffae2cc97a38b0d9bc0af,539.0,773bb37e7194c7e5d508a5a560b7cd9
0.0,18,f17e9d2ea8070b1d013bbeebfd09bd1,517.0,189347a74fc46b2a58e3dd1d50b7063
0.0,19,868c4cc977fd96e30c0d52a8a51bc9a,512.0,d6f4c4a284ea0089474f71a79b6eb8d
0.0,20,6b815766a19bcfd8f805043978b4b08,501.0,dd868e289c27446496024ccc85e215c
0.25,1,999246518573af4b1756e96b5da8c15,1627.6487319241373,e91fc738f7c2969b5693bd5a3b6a7e2
0.25,2,5570fb689528e01c515604476fead7b,1434.5955844838743,4f11b5ae12b263cd102af2fb53c6e59
0.25,3,126c0412a08a77cd21d1321d32b4a30,1355.5000342444773,faa5436acf21229165219bdf2a15ae1
